༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
མཁས་ཤིང་དད་དང་ལྡན་བྱས་ནས།། ལས་རྣམས་བདག་གིས་རྟག་ཏུ་བྱ།།	Acting thus with faith and understanding, You should always undertake good works.
ལས་རྣམས་ཀུན་ལ་སུ་ལ་ཡང་།། ལྟོས་པར་བྱ་བ་མ་ཡིན་ནོ།།	And in whatever actions you perform, You should not be dependent on another.
སྦྱིན་པའི་ཕ་རོལ་ཕྱིན་ལ་སོགས།། གོང་ནས་གོང་དུ་ཁྱད་ཞུགས་སྤྱད།།	The perfections, giving and the rest, Progress in sequence, growing in importance.
ཆུང་ངུའི་ཕྱིར་ནི་ཆེ་མི་གཏོང་།། གཙོ་ཆེར་གཞན་གྱི་དོན་བསམ་མོ།།	The great should never be abandoned for the less, And others’ good should be regarded as supreme.
དེ་ལྟར་རིག་བྱས་གཞན་དོན་ལ།། རྟག་ཏུ་བརྩོན་པར་གནས་པར་བྱ།།	Therefore understand this well, And always labor for the benefit of beings.
ཐུགས་རྗེ་མངའ་བ་རིང་གཟིགས་པས།། བཀག་པ་རྣམས་ཀྱང་དེ་ལ་གནང་།།	The Compassionate One farsightedly permits, To this end, even what has been proscribed.
ལོག་པར་ལྟུང་དང་མགོན་མེད་དང་།། བརྟུལ་ཞུགས་གནས་ལ་བགོ་བྱ་ཞིང་།། རན་པ་ཙམ་དུ་བཟའ་བྱ་སྟེ།།	Eat only what is needful; Share with those who have embraced the discipline, With those who are defenseless or have fallen into evil states.
ཆོས་གོས་གསུམ་མ་གཏོགས་པ་སྦྱིན།།	Give everything except the three robes of religion.
དམ་པའི་ཆོས་ནི་སྤྱོད་པའི་ལུས།། ཕྲན་ཚེགས་ཆེད་དུ་གནོད་མི་བྱ།།	The body, used to practice sacred teachings, Should not be harmed in meaningless pursuits.
དེ་ལྟར་བྱས་ན་སེམས་ཅན་གྱི།། བསམ་པ་མྱུར་དུ་རྫོགས་པར་འགྱུར།།	By acting thus the wishes of all beings Will swiftly and completely be attained.
སྙིང་རྗེའི་བསམ་པ་མ་དག་པར།། ལུས་འདི་གཏང་བར་མི་བྱ་སྟེ།།	They should not give up their bodies Whose compassionate thoughts are not yet pure.
ཅི་ནས་འདི་དང་གཞན་དུ་ཡང་།། དོན་ཆེན་སྒྲུབ་པའི་རྒྱུར་གཏང་ངོ།།	But let them be surrendered when, both now and in their futures lives, Great benefit is thereby gained.
མ་གུས་པ་ལ་ཆོས་མི་བཤད།། མི་ན་བཞིན་དུ་མགོ་དཀྲིས་དང་།། གདུགས་དང་འཁར་བ་མཚོན་ཐོགས་དང་།། མགོ་བོ་གཡོགས་པ་དག་ལ་མིན།།	Do not teach the Dharma to the disrespectful: To those who, though not sick, wrap cloths around their heads, To those who carry weapons, staffs, or parasols, To those who are with covered heads.
དམན་ལ་ཟབ་དང་རྒྱ་ཆེ་དང་།། སྐྱེས་པ་མེད་པར་བུད་མེད་མིན།།	To those upon the lower paths do not explain the vast and deep, Nor tutor women unaccompanied by men.
དམན་དང་མཆོག་གི་ཆོས་རྣམས་ལ།། མཚུངས་པར་གུས་པས་ཀུན་ཏུ་སྤྱད།།	And every Dharma, high or low, Expound with equal reverence.
རྒྱ་ཆེན་ཆོས་ཀྱི་སྣོད་གྱུར་པ།། དམན་པའི་ཆོས་ལ་སྦྱར་མི་བྱ།།	Those suited to the teachings of great scope Should not be introduced to lesser paths.
སྤྱོད་པ་ཡོངས་སུ་འདོར་མི་བྱ།། མདོ་དང་སྔགས་ཀྱིས་འདྲིད་མི་བྱ།།	The rules of conduct you should not neglect Nor lead astray with talk of sūtras and of mantras.
སོ་ཤིང་དང་ནི་མཆིལ་མ་དག། དོར་བ་ན་ནི་དགབ་པར་བྱ།།	When you spit and throw away Your tooth sticks, you should cover them.
གཅི་ལ་སོགས་པ་འང་ལོངས་སྤྱོད་པའི།། ཆུ་དང་ཐང་ལ་དོར་བ་སྨད།།	And it is wrong to foul with urine and with other filth The fields and water fit for public use.
ཁ་བཀང་བ་དང་སྒྲ་བཅས་དང་།། ཁ་གདངས་ནས་ནི་བཟའ་མི་བྱ།།	When eating, do not gobble noisily, Nor stuff and cram your gaping mouth.
རྐང་པ་བརྐྱངས་ཏེ་མི་འདུག་ཅིང་།། ལག་པ་མཉམ་པར་མི་མཉེའོ།།	And do not sit with legs outstretched, Nor coarsely rub your hands together.
བཞོན་པ་མལ་སྟན་གནས་དག་ཏུ།། བུད་མེད་གཞན་དང་གཅིག་མི་བྱ།།	Do not travel, sit, or stay alone With women of another house.
འཇིག་རྟེན་མ་དད་གྱུར་པ་ཀུན།། མཐོང་དང་དྲིས་ཏེ་སྤང་བར་བྱ།།	And all that you have seen, or have been told, To be a cause of scandal—that you should avoid.
སོར་མོས་བརྡ་ནི་མི་བྱ་སྟེ།། གུས་དང་བཅས་པས་གཡས་པ་ཡི།། ལག་པ་དག་ནི་ཀུན་གྱིས་ཀྱང་།། ལམ་ཡང་དེ་ལྟར་བསྟན་པར་བྱ།།	Not rudely pointing with your finger, But rather with a reverent gesture showing With the whole right hand outstretched— This is how to indicate the road.
ལག་པ་ཤས་ཆེར་བསྐྱོད་མིན་ཏེ།།	Do not wave your arms with uncouth gestures.
ཅུང་ཟད་བསྐྱོད་ལ་སྒྲ་བསྒྲགས་པ།། སེ་གོལ་ལ་སོགས་བརྡ་བྱ་སྟེ།།	Express yourself instead with unobtrusive signs, With gentle sounds and finger snaps.
གཞན་དུ་མ་བསྡམས་པར་འགྱུར་རོ།།	For acting otherwise is impolite excess.
མགོན་པོ་མྱ་ངན་འདས་གཟིམས་ལྟར།། འདོད་པའི་ཕྱོགས་སུ་ཉལ་བར་བྱ།།	Lie down to sleep in the preferred direction, In the posture of the Buddha when he passed into nirvāṇa.
ཤེས་བཞིན་མྱུར་དུ་ལྡང་སེམས་ལ།། ཐོག་མ་ཉིད་དུ་ངེས་པར་སྦྱར།།	And first with vigilance decide That you’ll be quick to rise again.
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་དག། ཚད་མེད་པར་ནི་གསུངས་པ་ལས།།	The actions of the Bodhisattva Are unbounded, so the Teachings say.
སེམས་སྦྱོང་བ་ཡི་སྤྱོད་པ་ནི།། ངེས་པར་དེ་སྲིད་སྤྱད་པར་བྱ།།	Of these, until the goal is won, Embrace the practices that purify your mind.
ཉིན་དང་མཚན་མོ་ལན་གསུམ་དུ།། ཕུང་པོ་གསུམ་པ་གདོན་བྱ་ཞིང་།། རྒྱལ་དང་བྱང་ཆུབ་སེམས་བརྟེན་ནས།། ལྟུང་བའི་ལྷག་མ་དེས་ཞི་བྱ།།	Reciting thrice by day and thrice by night, The Sūtra in Three Sections, Relying on the Buddhas and the Bodhisattvas, Purify the rest of your transgressions.
རང་ངམ་གཞན་གྱི་དབང་ཡང་རུང་།། གནས་སྐབས་གང་དུ་ཅི་སྤྱོད་ཀྱང་།། བསླབ་པར་གསུངས་པ་གང་ཡིན་པའི།། གནས་སྐབས་དེ་ལ་འབད་དེ་བསླབ།།	Wherever and whenever and whatever you are doing, For your sake or the sake of others, Implement with diligence The teachings given for that situation.
རྒྱལ་སྲས་རྣམས་ཀྱིས་མི་བསླབ་པ།། དེ་ནི་གང་ཡང་ཡོད་མིན་ཏེ།།	There is indeed no field of knowledge That the Buddhas’ offspring should not learn.
དེ་ལྟར་གནས་པའི་མཁས་པ་ལ།། བསོད་ནམས་མི་འགྱུར་གང་ཡང་མེད།།	For those who are well-versed in all these ways, There is no action destitute of merit.
དངོས་སམ་ཡང་ན་བརྒྱུད་ཀྱང་རུང་།། སེམས་ཅན་དོན་ལས་གཞན་མི་སྤྱད།།	Directly, then, or indirectly, Do nothing that is not for others’ sake.
སེམས་ཅན་ཁོ་ནའི་དོན་གྱི་ཕྱིར།། ཐམས་ཅད་བྱང་ཆུབ་ཕྱིར་བསྔོ་འོ།།	And solely for their welfare dedicate Your every action to the gaining of enlightenment.
རྟག་པར་དགེ་བའི་བཤེས་གཉེན་ནི།། ཐེག་ཆེན་དོན་ལ་མཁས་པ་དང་།། བྱང་ཆུབ་སེམས་དཔའི་བརྟུལ་ཞུགས་མཆོག། སྲོག་གི་ཕྱིར་ཡང་མི་གཏོང་ངོ།།	Never, at the cost of life or limb, Forsake your virtuous friend, your teacher, Learned in the doctrine of the Mahāyāna, Supreme in Bodhisattva discipline.
དཔལ་འབྱུང་བ་ཡི་རྣམ་ཐར་ལས།། བླ་མ་བསྟེན་པའི་ཚུལ་ལྟར་བསླབ།།	Learn how to attend upon your guru As described in Shrī Sambhava’s life.
འདི་དང་སངས་རྒྱས་བཀའ་སྩལ་གཞན།། མདོ་སྡེ་བཀླགས་ནས་ཤེས་པར་བྱ།།	This and other teachings of the Buddha You should understand by reading in the sūtras.
